crane_1497208128217_n_1_0_3609.wav, ,5,50, waiting,4180,4244, leaving,4244,5332, didPass,1, detectionWhole,1151,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,7,50, waiting,4138,4202,4906,4970,5162,5226, leaving,4202,4522,4970,5034,5226,5290, didPass,0, detectionWhole,1151,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,9,50, waiting,4095,4159,4991,5055, leaving,4159,4223,5055,5119, didPass,0, detectionBtwn,0, detectionWhole,1023,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,11,50, waiting,4180,4244, leaving,4244,4308, didPass,1, detectionWhole,127,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,13,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,15,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,5,150, waiting,4180,4351, leaving,4351,5332, didPass,1, detectionWhole,1151,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,7,150, waiting,4138,4308, leaving,4308,4522,4906,5034,5162,5290, didPass,1, detectionWhole,1151,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,9,150, waiting, leaving,4095,4223,4991,5119, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,11,150, waiting, leaving,4180,4308, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,13,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,15,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,5,250, waiting,4180,4436, leaving,4436,5332, didPass,1, detectionWhole,1151,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,7,250, waiting,4138,4394, leaving,4394,4522,4906,5034,5162,5290, didPass,1, detectionWhole,1151,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,9,250, waiting, leaving,4095,4223,4991,5119, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,11,250, waiting, leaving,4180,4308, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,13,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,15,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,5,350, waiting,4180,4543, leaving,4543,5332, didPass,1, detectionWhole,1151,,,,,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,7,350, waiting,4138,4500, leaving,4500,4522,4906,5034,5162,5290, didPass,1, detectionWhole,1151,,,,,,,,,,,,
crane_1497208128217_n_1_0_3609.wav, ,9,350, waiting, leaving,4095,4223,4991,5119, didPass,0,,,,,,,,,,,,,,,,,,
